ref_cat,x_coord,y_coord
9181816DF1798A,2.03208686019256,41.3483700261146
9181817DF1798A,2.03207415918252,41.3484124348136
9181819DF1798A,2.03202350046986,41.3486690835158
0069801DF2706G,2.04333185857956,41.3383244501357
0069802DF2706G,2.04338172801418,41.3382814483015
0069803DF2706G,2.04341016511771,41.3382574543751
0069804DF2706G,2.04348190467652,41.3381818468113
0069805DF2706G,2.04355614393413,41.3381150873707
0069806DF2706G,2.04361499876674,41.3380542350908
0069807DF2706G,2.04367194636542,41.3380012034967
0069808DF2706G,2.04375161277305,41.337931066157
0069809DF2706G,2.0438276452803,41.3378642313616
0069810DF2706G,2.04391013755646,41.3377888029354
0069812DF2706G,2.04368182201862,41.3376365700026
0069815DF2706G,2.04342616908097,41.3374741110188
0069816DF2706G,2.04313749455022,41.3372978655986
0069817DF2706G,2.04309794176628,41.337321947191
0069818DF2706G,2.04300954458184,41.3373843550709
0069819DF2706G,2.04291898882846,41.3374390885159
0069821DF2706G,2.04281027995303,41.337509253964
0069822DF2706G,2.04276773366316,41.3375418677132
0069823DF2706G,2.04270245458436,41.3376006844667
0069825DF1796H,2.04246079460722,41.3377559458233
0069827DF1796H,2.0427638968808,41.3379589752687
0069831DF1796H,2.04304808980407,41.3381394178928
0069832DF1796H,2.04308710295867,41.3381685664308
0070901DF2707A,2.04351189182183,41.3396120437744
0070903DF2707A,2.04366635594603,41.3394617304777
0070904DF2707A,2.04397559169754,41.339197135978
0070905DF2707A,2.04415731108436,41.3390054335578
0070906DF2707A,2.04403168636753,41.3389327801328
0070907DF2707A,2.04396468336203,41.3388888071811
0070908DF2707A,,
0070910DF2706G,2.04315887847782,41.3386947534771
0070911DF2707A,2.0430779711308,41.3387597457746
0070912DF2707A,2.04300542871629,41.338824807573
0070918DF2707A,2.04283044887991,41.3392661632751
0070919DF2707A,2.04296493508437,41.3392396285622
0070920DF2707A,2.04293354891587,41.3393343971439
0070921DF2707A,2.04301530187821,41.3393749804033
0070922DF2707A,2.043082164974,41.3394285007371
0070923DF2707A,2.043123378727,41.3394543347649
0070924DF2707A,2.04318220110975,41.3394856296279
0071402DF2707A,2.04366551369488,41.3406221652544
0071403DF2707A,2.04394314353152,41.3402553428797
0071404DF2707A,2.04378292326369,41.3401617745158
0071405DF2707A,2.04363817446539,41.3399910497783
0071407DF2707A,2.0433197696985,41.3400406471316
0071409DF2707A,2.04313111465722,41.3402158967887
0071410DF2707A,2.0430746312878,41.3402615457646
0166601DF2706G,2.0447654768093,41.3370051329735
0166603DF2706G,2.04488081270997,41.3368983599423
0166604DF2706G,2.04495325529141,41.3368316747433
0166605DF2706G,2.04499098615003,41.3367931653125
0166608DF2706G,2.04514870823535,41.3366563882874
0166609DF2706G,2.04517170690907,41.3366037047888
0166610DF2706G,2.0452710947373,41.3365413864076
0166611DF2706E,2.04530087962864,41.3363758945873
0166612DF2706E,2.04524609201372,41.3363303122642
0166613DF2706E,2.04518480409302,41.3362961155732
0166614DF2706E,2.04511407489152,41.3362537337204
0166616DF2706E,2.04474986287626,41.3362252198851
0166618DF2706E,2.04467453755527,41.3363583567472
0166619DF2706E,2.04450881849734,41.336371753391
0166620DF2706E,2.04446067323338,41.3364032403858
0166621DF2706G,2.04440180053605,41.3364409435721
0166622DF2706G,2.0443350630344,41.336485247006
0166623DF2706G,2.04426274398658,41.3365434657493
0166624DF2706G,2.04429695170085,41.3366805744839
0166625DF2706G,2.04435793112705,41.336744043616
0166626DF2706G,2.04441917396281,41.3367894998059
0166627DF2706G,2.04448684635934,41.3368284338347
0168202DF2706G,2.04410690934815,41.3376136193235
0168204DF2706G,2.04421320465841,41.3375122664912
0168205DF2706G,2.0444489628351,41.3373025468464
0168206DF2706G,2.04458790339129,41.3371753428168
0168207DF2706G,2.04467083900597,41.3371021693995
0168209DF2706G,2.04452506850358,41.3370179997559
0168210DF2706G,2.04439645078691,41.3369377555242
0168211DF2706G,2.04430875993509,41.336878388226
0168212DF2706G,2.0442220459674,41.3368257846348
0168213DF2706G,2.04414701886999,41.3367830962717
0168215DF2706G,2.04394007374674,41.3367551653379
0168217DF2706G,2.04381231389629,41.3368369733704
0168219DF2706G,2.04369981032192,41.3369134134264
0168220DF2706G,2.04362349226475,41.3369589879649
0168221DF2706G,2.04357873516339,41.3369957271188
0168222DF2706G,2.04350303508483,41.3370480623727
0168223DF2706G,2.04329956185881,41.3371830155999
0168225DF2706G,2.04343513773874,41.3372777309623
0168226DF2706G,2.04356152042702,41.3373473287826
0168227DF2706G,2.04365737389093,41.3373797418338
0168228DF2706G,2.04368940719817,41.3374121649622
0168229DF2706G,2.04373050136983,41.3374461045775
0168230DF2706G,2.04378151926273,41.3374797663299
0168232DF2706G,2.04431903844481,41.3374179356125
0168501DF2706G,2.04501086600673,41.3382630017076
0168502DF2706G,2.04507115078536,41.3382105375652
0168503DF2706G,2.0451283848161,41.3381623717008
0168505DF2706G,2.04524661013862,41.3380460743015
0168508DF2706G,2.04535522883813,41.3379410465996
0168509DF2706G,2.04539443452134,41.3379161506743
0168510DF2706G,,
0168511DF2706G,,
0168513DF2706G,2.04552516888134,41.3376388117191
0168514DF2706G,2.04522859479517,41.3375529417956
0168515DF2706G,2.04517641099621,41.3374272138747
0168516DF2706G,2.04506743396857,41.3373522676455
0168517DF2706G,2.04478981040495,41.3371964751107
0168518DF2706G,2.0446497241753,41.3373121402132
0168519DF2706G,2.0445545125172,41.3373911566784
0168520DF2706G,2.04449593311493,41.3374659734344
0168521DF2706G,2.04445306867925,41.3374958829036
0168523DF2706G,2.04434495494478,41.3375990223684
0168525DF2706G,2.0442465364382,41.3376929644717
0168526DF2706G,2.04425492648355,41.3377894148987
0168527DF2706G,2.04431111631256,41.3378208674796
0168528DF2806G,,
0168529DF2906G,,
0168530DF3006G,,
0168532DF3206G,,
0168533DF3306G,,
0168535DF3506G,,
0169201DF2707A,2.04427968833504,41.3389160141445
0169203DF2707A,2.04440139888675,41.3388067724636
0169205DF2707A,2.04450173587103,41.3387206827418
0169206DF2706G,2.04453291207469,41.3386973418086
0169207DF2706G,2.04458794674063,41.3386279902275
0169208DF2706G,2.04467377303748,41.3385615964875
0169209DF2706G,2.04459794786984,41.3384425178123
0169211DF2706G,2.04482022782661,41.3384192318326
0169212DF2706G,2.04486747343942,41.3383921509324
0169213DF2706G,2.04468243264987,41.3382716253922
0169214DF2706G,2.04458871078629,41.3382159013467
0169215DF2706G,2.04448230583701,41.3381366523022
0169216DF2706G,2.04444271928274,41.3381139849079
0169219DF2706G,2.044316761453,41.3380315107953
0169220DF2706G,2.04426340388735,41.338002513776
0169221DF2706G,2.04421675317224,41.3379643847347
0169222DF2706G,2.04403820685188,41.3378821040889
0169223DF2707A,2.04393304075362,41.3379960766967
0169225DF2706G,2.04379488717415,41.3381346359571
0169226DF2706G,2.04372558189842,41.3381990945877
0169228DF2706G,2.04362876242154,41.3382653061944
0169231DF2706G,2.04369604970049,41.3385512243801
0169234DF2707A,2.04392884302365,41.3386916945839
0169235DF2707A,2.04409901341776,41.3387993071006
0170601DF2707A,2.04505934645383,41.3394113255757
0170602DF2707A,2.04525219106766,41.3392351166414
0170607DF2707A,2.04471825307243,41.3387810292145
0170609DF2707A,2.04454611303671,41.3389389436933
0170611DF2707A,2.04455982261108,41.3390966895475
0170612DF2707A,2.04463058739487,41.3391368201365
0170613DF2707A,2.04469368965732,41.3391778779067
0170614DF2707A,2.04474605681518,41.3392092985398
0170615DF2707A,2.04483069016,41.3392654874731
0170616DF2707A,2.0449239225535,41.3393221080081
0171101DF2707A,2.04420375745538,41.3401447331691
0171102DF2707A,2.04445250834942,41.3399217002996
0171104DF2707A,2.04469771321032,41.3397367393555
0171105DF2707A,2.04480602688607,41.3396364836776
0171106DF2707A,2.04486648657228,41.3395803280169
0171107DF2707A,2.0449204022128,41.339530333221
0171108DF2707A,2.04485162539222,41.3394359038181
0171109DF2707A,2.0447782561017,41.3393940403149
0171110DF2707A,2.04472575216937,41.3393637895425
0171111DF2707A,2.04462061206655,41.3392959907168
0171112DF2707A,2.0445739217706,41.3392686705508
0171113DF2707A,2.04450309925231,41.3392243059023
0171114DF2707A,2.04424448943514,41.3392063052272
0171115DF2707A,2.04416988452048,41.3392735124385
0171116DF2707A,2.04412981962534,41.3393080388737
0171117DF2707A,2.04404204910447,41.3393846846465
0171120DF2707A,2.04383099480576,41.3395799263164
0171122DF2707A,2.04377152583541,41.3396336576258
0171123DF2707A,2.04371677535425,41.3396834647921
0171126DF2707A,2.0436253550948,41.3397726003981
0171602DF2707A,2.04546566582423,41.3401915069603
0171603DF2707A,2.0455540832884,41.3401114426094
0171604DF2707A,2.04560632448827,41.3400615236851
0171605DF2707A,2.04562135553429,41.3399324801573
0171606DF2707A,2.04553701751539,41.3398723309381
0171607DF2707A,2.04548852861243,41.3398453565289
0171610DF2707A,2.0452201652077,41.3396766710091
0171612DF2707A,2.04469825017992,41.339978055909
0171613DF2707A,2.04458961147955,41.3400759668183
0171614DF2707A,2.04439300203041,41.3402723202416
0171616DF2707A,2.04509204446236,41.3395947202657
0172208DF2707A,2.04435580500463,41.3407074359815
0172212DF2707C,2.04322395303156,41.3412547878527
0172213DF2707C,2.04316796350945,41.3413074668519
0172216DF2707C,2.04302922656402,41.3414362920998
0172217DF2707C,2.04287952333909,41.3416936536504
0268101DF2706G,2.04534990527851,41.3373562324689
0268103DF2706G,2.04554070830214,41.3365335342758
0268104DF2706G,2.04542744160427,41.3366133024954
0269901DF2706G,2.04576531440485,41.3387248613657
0269902DF2706G,2.04608240501055,41.3383961925393
0269903DF2706G,2.04560471033472,41.3380109426164
0269904DF2706G,2.04522002455479,41.3383688643592
0273302DF2707C,2.0451013996381,41.3414333274602
0273305DF2707C,2.04533420166244,41.341214033646
0273306DF2707C,2.04488934816179,41.3411403539746
0273307DF2707C,2.04487377334738,41.3412574128328
0273308DF2707C,2.04471977042327,41.341392418709
0273310DF2707C,2.04474807888409,41.3417126015467
0273311DF2707C,2.0447892473476,41.3417416773118
0273902DF2707C,2.04591429543579,41.3417747897292
0273903DF2707C,2.0458545288774,41.3415295593307
0273904DF2707C,2.04550018345566,41.3415190546322
0273908DF2707C,2.04527225080528,41.3417240671752
0273909DF2707C,2.0452010336185,41.3417883306377
